State,Season,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Type,Previous_Crop,Area_hectare,Crop,Yield_ton_per_hectare
Rajasthan,Kharif,Black,7.82,147,26,116,713,11.9,80,Sprinkler,Moong,8.86,Masoor,5.06
Jharkhand,Rabi,Alluvial,7.97,148,61,31,853,19.48,42,Tube Well,Pea,4.64,Onion,4.17
Madhya Pradesh,Zaid,Red,7.16,83,35,120,974,13.68,44,Sprinkler,Moong,3.17,Groundnut,4.14
Madhya Pradesh,Zaid,Black,6.67,55,68,130,1477,35.52,51,Rainfed,Cotton,3.17,Moong,6.1
Haryana,Rabi,Sandy,7.09,40,29,126,1213,31.79,87,Rainfed,Sugarcane,6.13,Mustard,5.8
Jammu and Kashmir,Zaid,Loamy,5.69,112,67,46,1088,12.18,42,Tube Well,Maize,8.83,Sugarcane,5.8
Madhya Pradesh,Zaid,Red,7.57,112,56,32,1263,17.88,34,Rainfed,Soybean,6.89,Gram,6.39
Uttarakhand,Rabi,Clay,6.97,91,18,56,282,23.79,37,Tube Well,Mustard,9.69,Wheat,2.99
Madhya Pradesh,Zaid,Clay,8.11,110,47,109,1220,19.37,44,Drip,Cotton,7.76,Soybean,6.98
Punjab,Rabi,Alluvial,8.0,147,33,79,1406,21.63,69,Tube Well,Mustard,7.24,Maize,5.16
Bihar,Kharif,Red,7.17,84,65,68,710,38.37,62,Rainfed,Sugarcane,1.24,Barley,3.43
Rajasthan,Zaid,Red,5.61,90,77,44,1297,11.97,49,Rainfed,Arhar,1.88,Pea,6.36
Rajasthan,Kharif,Loamy,6.31,32,32,83,600,31.98,51,Sprinkler,Masoor,9.26,Cotton,2.58
Uttar Pradesh,Kharif,Loamy,6.72,101,35,75,963,30.45,79,Rainfed,Arhar,6.55,Soybean,5.64
Delhi,Rabi,Loamy,7.46,33,17,137,1080,24.31,58,Sprinkler,Bajra,5.37,Bajra,4.1
Bihar,Kharif,Alluvial,6.94,22,20,80,716,35.14,61,Rainfed,Groundnut,5.93,Moong,3.42
Jammu and Kashmir,Kharif,Red,5.66,70,13,139,385,20.92,59,Canal,Mustard,6.74,Masoor,6.07
Chhattisgarh,Kharif,Sandy,7.01,109,40,22,354,23.76,81,Canal,Arhar,4.52,Sugarcane,3.64
Delhi,Zaid,Red,6.86,26,66,64,1178,17.08,82,Tube Well,Sugarcane,6.67,Wheat,3.67
Haryana,Kharif,Clay,7.16,122,88,42,1372,32.04,89,Tube Well,Jowar,0.9,Maize,6.45
Himachal Pradesh,Rabi,Red,8.29,136,67,95,1070,35.8,63,Sprinkler,Soybean,5.92,Masoor,6.82
Uttarakhand,Zaid,Black,7.02,121,85,88,1322,37.36,54,Tube Well,Moong,1.14,Barley,7.31
Madhya Pradesh,Kharif,Black,6.45,127,24,145,877,31.94,37,Rainfed,Maize,7.82,Moong,4.57
Jammu and Kashmir,Rabi,Red,6.75,38,71,39,976,22.36,63,Canal,Arhar,5.09,Masoor,2.71
Delhi,Kharif,Red,7.64,127,75,135,454,23.76,39,Canal,Gram,3.61,Bajra,6.15
Jammu and Kashmir,Kharif,Red,6.52,130,33,145,211,31.19,36,Rainfed,Bajra,2.71,Wheat,4.99
Rajasthan,Zaid,Black,7.04,127,83,123,1365,36.99,43,Sprinkler,Cotton,0.97,Mustard,8.41
Uttar Pradesh,Kharif,Loamy,8.2,67,67,129,791,26.6,69,Canal,Bajra,5.41,Soybean,4.17
Chhattisgarh,Zaid,Clay,8.4,54,17,147,1422,33.54,34,Rainfed,Masoor,3.97,Groundnut,4.38
Bihar,Kharif,Black,6.76,65,45,10,1273,38.87,58,Sprinkler,Gram,8.77,Onion,4.84
Bihar,Zaid,Black,5.97,107,26,82,347,17.06,71,Rainfed,Rice,2.69,Gram,3.4
Himachal Pradesh,Zaid,Sandy,5.66,50,23,22,548,39.66,72,Drip,Potato,2.88,Gram,1.36
Delhi,Zaid,Loamy,7.8,121,41,109,1088,10.67,44,Rainfed,Wheat,2.13,Maize,7.38
Chhattisgarh,Rabi,Black,6.76,30,36,48,462,16.04,71,Drip,Soybean,5.44,Maize,2.68
Delhi,Zaid,Black,5.91,116,15,83,611,21.31,33,Tube Well,Groundnut,3.85,Soybean,3.58
Rajasthan,Kharif,Loamy,6.84,144,64,53,783,19.73,46,Canal,Gram,3.23,Maize,3.89
Bihar,Kharif,Loamy,8.44,94,88,91,395,25.41,34,Canal,Bajra,4.7,Groundnut,3.44
Punjab,Rabi,Alluvial,5.97,95,68,33,1296,17.43,61,Rainfed,Pea,3.07,Soybean,4.91
Jharkhand,Zaid,Sandy,5.82,68,15,64,201,18.79,80,Tube Well,Masoor,4.18,Gram,2.04
Delhi,Kharif,Clay,7.82,44,44,124,1168,23.05,37,Tube Well,Wheat,2.25,Onion,5.11
Uttar Pradesh,Zaid,Clay,5.86,110,26,134,640,16.09,44,Canal,Moong,8.11,Pea,4.18
Uttar Pradesh,Rabi,Black,7.79,121,41,55,428,20.91,79,Tube Well,Rice,7.53,Groundnut,4.33
Himachal Pradesh,Zaid,Loamy,6.1,47,65,58,549,30.96,56,Drip,Cotton,8.52,Arhar,1.6
Haryana,Zaid,Alluvial,7.12,23,61,66,479,39.82,82,Sprinkler,Maize,1.69,Arhar,3.09
Madhya Pradesh,Rabi,Black,5.71,149,25,118,894,39.77,33,Drip,Maize,3.29,Sugarcane,6.03
Himachal Pradesh,Zaid,Clay,6.27,128,19,91,284,12.12,55,Canal,Mustard,1.37,Barley,3.39
Madhya Pradesh,Zaid,Red,6.02,40,94,10,1463,38.7,79,Drip,Bajra,7.92,Maize,5.7
Jammu and Kashmir,Zaid,Clay,6.93,138,66,143,546,16.93,32,Drip,Rice,6.95,Bajra,6.36
Haryana,Kharif,Red,6.48,138,88,88,908,17.26,51,Drip,Wheat,9.63,Potato,5.25
Bihar,Kharif,Loamy,8.07,110,86,147,1169,13.48,56,Tube Well,Moong,4.87,Soybean,6.94
Rajasthan,Rabi,Black,8.02,47,53,116,674,25.77,53,Canal,Barley,1.15,Soybean,3.06
Delhi,Kharif,Sandy,8.06,147,11,120,345,15.91,71,Sprinkler,Pea,2.59,Sugarcane,4.24
Jharkhand,Kharif,Alluvial,5.67,141,43,97,1338,16.09,85,Drip,Cotton,2.86,Groundnut,7.53
Jharkhand,Rabi,Black,6.64,22,24,146,1290,11.27,58,Rainfed,Gram,6.08,Gram,4.45
Himachal Pradesh,Kharif,Alluvial,6.38,41,99,18,1325,18.1,39,Drip,Cotton,5.9,Rice,4.43
Uttar Pradesh,Kharif,Clay,5.71,124,50,76,805,15.9,64,Drip,Wheat,4.03,Masoor,4.9
Uttar Pradesh,Rabi,Sandy,5.95,107,46,117,532,37.01,78,Sprinkler,Arhar,4.15,Mustard,4.68
Punjab,Kharif,Sandy,6.12,116,81,63,431,35.03,30,Drip,Rice,5.1,Moong,6.07
Jharkhand,Kharif,Sandy,7.4,133,10,141,1134,38.55,80,Drip,Mustard,8.42,Pea,6.22
Uttar Pradesh,Kharif,Alluvial,7.46,107,90,112,893,16.71,88,Drip,Potato,0.8,Pea,6.21
Rajasthan,Zaid,Black,5.82,100,49,93,868,16.55,49,Canal,Gram,8.89,Gram,6.2
Jharkhand,Rabi,Loamy,8.16,25,16,111,1293,23.54,59,Sprinkler,Rice,7.39,Potato,3.58
Bihar,Kharif,Sandy,7.15,127,20,138,546,37.66,66,Sprinkler,Wheat,1.62,Onion,6.37
Delhi,Rabi,Clay,7.68,112,35,99,815,17.76,89,Tube Well,Maize,4.34,Masoor,5.66
Haryana,Rabi,Clay,5.71,138,41,22,984,17.01,50,Rainfed,Pea,8.2,Moong,4.96
Haryana,Rabi,Sandy,6.56,128,18,85,782,31.31,38,Canal,Pea,5.27,Bajra,6.62
Chhattisgarh,Kharif,Clay,5.79,75,88,108,890,26.04,36,Drip,Groundnut,2.92,Mustard,5.26
Punjab,Zaid,Loamy,7.11,104,28,144,1476,20.51,68,Rainfed,Jowar,1.39,Bajra,7.9
Punjab,Kharif,Sandy,8.21,122,66,61,426,24.2,71,Rainfed,Arhar,4.2,Groundnut,4.97
Rajasthan,Kharif,Loamy,6.38,83,26,107,952,25.78,36,Tube Well,Onion,3.15,Pea,4.69
Himachal Pradesh,Zaid,Sandy,6.53,105,65,36,1241,33.79,80,Rainfed,Barley,8.2,Gram,4.55
Bihar,Kharif,Sandy,6.2,105,36,111,883,29.43,48,Sprinkler,Pea,9.89,Rice,5.6
Uttar Pradesh,Kharif,Red,5.62,112,69,24,659,12.66,44,Drip,Arhar,2.72,Barley,3.88
Uttarakhand,Kharif,Alluvial,7.29,94,82,28,761,34.39,68,Sprinkler,Potato,5.69,Barley,4.78
Delhi,Rabi,Alluvial,6.98,106,21,71,1197,17.01,59,Rainfed,Barley,9.91,Bajra,6.63
Punjab,Kharif,Clay,7.95,107,97,125,884,36.0,50,Drip,Cotton,8.23,Soybean,6.84
Chhattisgarh,Rabi,Clay,5.92,21,42,19,1061,20.4,46,Canal,Groundnut,6.52,Maize,5.19
Jharkhand,Kharif,Red,5.91,96,67,102,302,26.06,77,Sprinkler,Cotton,5.31,Wheat,4.48
Himachal Pradesh,Rabi,Sandy,7.05,62,51,38,285,31.71,63,Rainfed,Rice,9.43,Groundnut,1.97
Punjab,Zaid,Loamy,5.55,97,93,140,280,26.48,42,Canal,Masoor,7.63,Gram,4.3
Chhattisgarh,Zaid,Black,8.47,33,49,18,1036,39.8,89,Canal,Pea,2.4,Pea,2.61
Uttarakhand,Rabi,Loamy,8.23,122,84,25,972,32.29,85,Canal,Onion,8.91,Cotton,5.48
Jharkhand,Rabi,Red,8.32,62,96,59,367,24.63,86,Drip,Jowar,1.06,Jowar,3.69
Bihar,Kharif,Loamy,6.52,106,24,145,1238,18.39,87,Tube Well,Masoor,8.56,Wheat,6.73
Himachal Pradesh,Kharif,Clay,5.95,145,26,74,1085,10.57,87,Rainfed,Masoor,8.57,Rice,5.65
Uttarakhand,Zaid,Sandy,6.72,25,59,29,1092,10.52,56,Drip,Pea,9.73,Maize,2.72
Himachal Pradesh,Zaid,Clay,6.12,88,83,87,1049,33.42,63,Drip,Soybean,9.24,Moong,4.52
Chhattisgarh,Rabi,Red,7.54,119,63,69,444,20.8,87,Drip,Rice,4.1,Masoor,8.04
Jammu and Kashmir,Kharif,Loamy,6.15,116,30,136,1284,20.43,64,Canal,Mustard,7.44,Rice,6.45
Bihar,Zaid,Loamy,6.42,74,30,111,1351,33.14,87,Canal,Masoor,6.73,Barley,4.68
Haryana,Rabi,Clay,5.68,123,12,25,1208,32.17,75,Canal,Masoor,6.77,Sugarcane,4.28
Himachal Pradesh,Zaid,Clay,7.94,140,29,125,1133,10.26,54,Drip,Barley,5.67,Cotton,6.09
Punjab,Zaid,Loamy,7.07,58,21,114,1465,30.93,46,Rainfed,Pea,6.52,Maize,4.42
Bihar,Zaid,Red,6.72,52,47,48,1330,10.11,30,Sprinkler,Arhar,0.65,Moong,5.27
Madhya Pradesh,Kharif,Sandy,6.95,54,28,110,362,19.66,40,Rainfed,Jowar,6.9,Cotton,1.26
Madhya Pradesh,Zaid,Sandy,6.81,102,28,115,1343,36.08,78,Tube Well,Jowar,3.59,Cotton,4.9
Haryana,Rabi,Clay,7.38,144,24,93,1261,16.67,73,Tube Well,Groundnut,1.14,Bajra,6.88
Himachal Pradesh,Zaid,Loamy,6.36,62,91,60,1005,34.74,64,Canal,Moong,7.86,Rice,5.21
Punjab,Kharif,Black,8.25,90,41,19,1079,21.48,51,Canal,Groundnut,8.34,Sugarcane,3.4
Bihar,Rabi,Alluvial,5.52,60,25,39,880,29.61,78,Tube Well,Onion,5.89,Cotton,2.69
Madhya Pradesh,Kharif,Black,8.12,142,37,10,777,30.53,37,Sprinkler,Arhar,8.86,Onion,3.55
Chhattisgarh,Kharif,Sandy,6.16,30,13,137,1260,15.47,46,Canal,Onion,2.85,Potato,3.94
Bihar,Kharif,Alluvial,6.98,20,27,23,271,31.96,49,Drip,Barley,6.12,Moong,1.19
Uttar Pradesh,Kharif,Sandy,8.15,84,62,111,1208,33.0,43,Rainfed,Cotton,2.64,Wheat,5.17
Rajasthan,Rabi,Alluvial,7.36,31,72,140,971,33.26,76,Sprinkler,Potato,8.17,Sugarcane,5.17
Bihar,Zaid,Black,7.43,96,84,91,768,25.72,75,Rainfed,Soybean,6.28,Rice,5.81
Haryana,Rabi,Red,5.87,77,31,64,292,14.6,89,Sprinkler,Pea,5.44,Potato,0.56
Himachal Pradesh,Zaid,Sandy,5.74,107,14,96,1223,31.4,40,Sprinkler,Gram,7.98,Rice,6.86
Delhi,Kharif,Loamy,8.21,56,89,69,240,24.8,43,Drip,Barley,3.51,Rice,3.79
Uttar Pradesh,Kharif,Alluvial,7.07,70,63,86,1124,12.61,32,Sprinkler,Rice,7.61,Barley,3.01
Uttarakhand,Rabi,Sandy,6.33,64,21,144,1106,21.28,31,Tube Well,Mustard,3.26,Rice,4.52
Himachal Pradesh,Rabi,Clay,8.09,99,60,41,1467,38.12,41,Drip,Groundnut,6.23,Groundnut,6.2
Madhya Pradesh,Rabi,Sandy,6.21,140,96,114,1397,34.02,65,Rainfed,Maize,9.07,Pea,6.62
Punjab,Rabi,Alluvial,6.37,101,89,13,779,35.76,72,Tube Well,Masoor,4.57,Groundnut,3.79
Uttar Pradesh,Kharif,Clay,8.5,88,12,124,447,29.92,41,Drip,Bajra,6.31,Wheat,3.83
Uttarakhand,Rabi,Loamy,5.77,58,15,13,727,10.6,56,Sprinkler,Mustard,4.16,Mustard,0.92
Delhi,Kharif,Alluvial,6.86,47,52,31,647,22.75,70,Drip,Jowar,1.86,Soybean,2.98
Rajasthan,Rabi,Sandy,7.73,143,96,14,1222,29.49,47,Sprinkler,Groundnut,1.55,Cotton,6.46
Delhi,Zaid,Alluvial,7.11,55,46,87,1302,27.08,86,Tube Well,Groundnut,3.14,Cotton,6.04
Rajasthan,Zaid,Alluvial,7.42,95,60,67,1375,32.49,71,Canal,Jowar,2.62,Moong,3.98
Delhi,Kharif,Black,5.92,120,36,130,1428,39.38,59,Tube Well,Masoor,0.61,Moong,7.12
Uttar Pradesh,Zaid,Sandy,7.15,78,92,68,1273,35.53,33,Rainfed,Masoor,5.41,Cotton,4.38
Jammu and Kashmir,Zaid,Sandy,7.55,109,18,21,291,11.0,74,Rainfed,Maize,0.78,Jowar,2.66
Himachal Pradesh,Kharif,Black,7.28,27,27,35,1266,11.09,44,Rainfed,Arhar,7.47,Cotton,3.47
Bihar,Zaid,Clay,7.05,125,30,123,1230,30.6,69,Drip,Cotton,4.46,Wheat,6.54
Rajasthan,Rabi,Loamy,5.73,139,77,35,286,26.16,54,Drip,Moong,4.0,Wheat,6.89
Chhattisgarh,Kharif,Red,6.97,90,56,29,752,16.17,61,Rainfed,Maize,5.71,Wheat,5.53
Delhi,Zaid,Loamy,6.5,117,63,65,548,27.49,52,Rainfed,Jowar,2.27,Cotton,4.69
Rajasthan,Zaid,Sandy,6.75,90,94,128,1219,12.03,68,Sprinkler,Wheat,1.89,Bajra,7.79
Delhi,Zaid,Loamy,6.31,101,15,17,1209,38.17,69,Canal,Pea,9.53,Wheat,5.48
Jammu and Kashmir,Rabi,Alluvial,6.4,20,52,122,1236,23.73,76,Sprinkler,Bajra,3.03,Gram,5.69
Jharkhand,Zaid,Clay,6.53,130,44,47,416,13.87,74,Tube Well,Groundnut,6.36,Rice,3.88
Bihar,Zaid,Loamy,6.74,53,41,101,245,13.33,50,Tube Well,Bajra,8.78,Masoor,3.03
Chhattisgarh,Zaid,Alluvial,7.04,41,62,98,956,33.68,74,Rainfed,Jowar,0.65,Onion,4.03
Rajasthan,Rabi,Loamy,7.38,33,31,81,889,38.94,71,Drip,Soybean,5.1,Potato,4.0
Uttar Pradesh,Kharif,Alluvial,5.87,90,18,137,858,31.09,84,Sprinkler,Onion,3.94,Moong,4.31
Bihar,Rabi,Clay,7.2,101,96,68,526,23.77,82,Canal,Pea,3.92,Groundnut,6.0
Chhattisgarh,Kharif,Sandy,7.15,113,53,144,434,28.53,75,Tube Well,Wheat,6.46,Soybean,5.8
Uttar Pradesh,Zaid,Sandy,6.32,38,39,17,1309,10.68,52,Rainfed,Gram,4.53,Jowar,4.87
Madhya Pradesh,Kharif,Alluvial,8.09,71,89,17,596,32.63,49,Canal,Barley,2.41,Gram,4.86
Uttar Pradesh,Kharif,Loamy,8.29,111,78,138,378,12.05,83,Tube Well,Masoor,4.82,Masoor,6.14
Bihar,Rabi,Alluvial,5.95,45,87,104,674,23.11,74,Drip,Jowar,6.9,Onion,5.14
Uttar Pradesh,Kharif,Sandy,6.71,80,11,57,956,22.28,35,Drip,Onion,7.87,Mustard,3.99
Chhattisgarh,Kharif,Red,6.74,65,43,93,1329,27.6,39,Tube Well,Maize,6.26,Arhar,4.82
Uttarakhand,Rabi,Alluvial,6.38,22,42,10,580,13.63,38,Drip,Potato,9.56,Maize,2.29
Chhattisgarh,Zaid,Sandy,5.88,68,15,112,315,37.08,72,Sprinkler,Jowar,7.51,Potato,2.97
Himachal Pradesh,Kharif,Loamy,7.5,87,82,94,950,31.1,42,Rainfed,Bajra,8.07,Cotton,4.93
Himachal Pradesh,Kharif,Black,6.75,115,97,148,1208,37.61,62,Canal,Masoor,7.74,Bajra,8.5
Haryana,Kharif,Alluvial,7.19,105,20,84,1150,35.98,57,Canal,Pea,2.74,Potato,6.24
Bihar,Kharif,Clay,6.34,77,55,121,914,24.56,63,Canal,Rice,5.83,Groundnut,7.17
Chhattisgarh,Kharif,Clay,6.46,84,27,34,969,12.9,38,Drip,Jowar,2.35,Jowar,5.75
Himachal Pradesh,Kharif,Red,8.49,62,53,25,918,35.2,47,Canal,Masoor,4.6,Jowar,2.64
Haryana,Rabi,Loamy,7.09,36,26,25,960,37.81,42,Rainfed,Potato,7.49,Sugarcane,2.02
Uttarakhand,Zaid,Alluvial,7.01,112,85,129,765,18.12,59,Tube Well,Bajra,5.73,Bajra,5.42
Bihar,Zaid,Loamy,5.82,148,78,57,437,29.47,72,Tube Well,Soybean,9.49,Wheat,5.95
Haryana,Rabi,Clay,5.67,96,59,18,1146,12.13,70,Drip,Gram,9.89,Wheat,4.86
Madhya Pradesh,Zaid,Clay,7.31,74,95,72,1031,20.32,38,Tube Well,Pea,5.32,Maize,4.98
Himachal Pradesh,Kharif,Black,6.97,63,16,46,299,30.27,71,Sprinkler,Bajra,5.5,Rice,3.46
Himachal Pradesh,Kharif,Loamy,6.37,78,84,120,659,12.05,71,Canal,Sugarcane,9.97,Masoor,8.37
Delhi,Zaid,Alluvial,6.29,110,10,106,814,18.69,52,Drip,Soybean,0.88,Cotton,2.86
Delhi,Zaid,Alluvial,6.36,43,48,18,982,29.53,40,Drip,Onion,0.6,Gram,2.87
Jharkhand,Zaid,Red,6.2,28,15,21,765,36.09,32,Drip,Pea,6.76,Sugarcane,2.41
Haryana,Rabi,Sandy,7.83,124,90,36,467,34.62,62,Sprinkler,Sugarcane,9.91,Bajra,6.01
Himachal Pradesh,Kharif,Loamy,8.15,52,88,94,1467,30.76,64,Tube Well,Jowar,5.91,Arhar,3.31
Rajasthan,Kharif,Clay,7.85,99,96,53,760,30.02,59,Drip,Sugarcane,6.69,Mustard,6.16
Madhya Pradesh,Zaid,Clay,6.83,102,68,112,979,30.34,44,Canal,Mustard,2.83,Moong,5.91
Jammu and Kashmir,Rabi,Black,6.22,145,92,49,491,18.84,63,Rainfed,Masoor,4.31,Potato,4.29
Uttarakhand,Rabi,Loamy,7.66,58,95,59,943,19.72,70,Rainfed,Sugarcane,4.58,Gram,4.12
Punjab,Zaid,Black,6.23,138,99,10,491,31.01,45,Tube Well,Barley,0.76,Wheat,3.71
Punjab,Kharif,Alluvial,6.96,105,88,13,1111,36.1,40,Tube Well,Mustard,9.98,Soybean,6.36
Rajasthan,Zaid,Red,7.4,31,75,110,207,26.3,73,Rainfed,Moong,5.58,Arhar,4.33
Jharkhand,Kharif,Clay,5.66,59,95,44,1017,21.96,31,Rainfed,Potato,8.67,Rice,5.93
Punjab,Zaid,Loamy,5.95,79,99,137,1489,10.77,52,Tube Well,Gram,8.77,Mustard,7.43
Uttar Pradesh,Kharif,Black,5.55,35,67,20,1435,15.37,45,Rainfed,Pea,2.03,Barley,4.09
Rajasthan,Kharif,Alluvial,8.45,117,24,74,1339,32.79,57,Tube Well,Bajra,4.51,Cotton,5.56
Madhya Pradesh,Kharif,Clay,7.76,75,97,140,1365,21.91,84,Sprinkler,Pea,4.19,Gram,6.11
Madhya Pradesh,Kharif,Clay,5.98,94,84,73,324,18.07,64,Rainfed,Cotton,4.81,Moong,4.64
Punjab,Rabi,Loamy,7.22,39,48,61,1291,17.96,72,Rainfed,Barley,1.53,Arhar,3.06
Bihar,Kharif,Sandy,6.06,44,12,39,302,23.07,38,Drip,Potato,1.68,Bajra,1.65
Rajasthan,Rabi,Clay,8.26,104,23,138,410,34.66,45,Canal,Sugarcane,1.87,Jowar,5.3
Uttar Pradesh,Kharif,Alluvial,7.22,142,66,115,1047,34.06,54,Drip,Jowar,8.28,Wheat,8.5
Bihar,Zaid,Red,5.65,92,88,57,916,29.18,83,Rainfed,Jowar,5.89,Masoor,3.81
Delhi,Rabi,Sandy,8.02,23,45,19,1162,11.87,50,Canal,Potato,1.53,Cotton,3.54
Madhya Pradesh,Kharif,Sandy,6.41,48,60,142,1226,13.18,59,Drip,Arhar,5.57,Masoor,5.64
Uttarakhand,Kharif,Sandy,5.91,103,86,15,1297,39.64,35,Rainfed,Rice,2.11,Jowar,4.73
Uttar Pradesh,Zaid,Alluvial,7.58,72,70,24,1212,29.57,74,Canal,Arhar,5.75,Arhar,3.26
Himachal Pradesh,Rabi,Clay,6.58,32,41,149,1030,10.61,51,Sprinkler,Arhar,1.31,Rice,5.02
Rajasthan,Zaid,Loamy,8.28,112,80,44,1316,17.24,80,Tube Well,Mustard,8.12,Jowar,6.74
Punjab,Kharif,Clay,5.52,117,43,90,1275,29.73,74,Rainfed,Moong,6.11,Arhar,4.28
Uttar Pradesh,Kharif,Clay,8.1,49,52,105,1023,29.51,47,Sprinkler,Onion,3.82,Maize,6.12
Madhya Pradesh,Zaid,Loamy,7.95,45,87,109,860,34.13,71,Tube Well,Cotton,8.62,Moong,3.31
Haryana,Kharif,Loamy,8.43,131,90,71,1068,22.26,72,Sprinkler,Sugarcane,8.12,Gram,6.43
Himachal Pradesh,Zaid,Loamy,7.88,135,93,84,595,23.44,46,Sprinkler,Groundnut,2.48,Moong,4.46
Madhya Pradesh,Zaid,Loamy,5.64,62,17,62,1028,26.32,75,Tube Well,Rice,1.85,Gram,4.06
Bihar,Rabi,Alluvial,6.52,86,47,62,937,22.39,45,Canal,Sugarcane,4.99,Cotton,4.58
Rajasthan,Zaid,Red,6.4,84,19,148,314,11.16,87,Sprinkler,Maize,3.94,Soybean,4.08
Uttarakhand,Kharif,Alluvial,7.07,90,50,52,648,39.63,84,Sprinkler,Wheat,1.57,Pea,4.53
Bihar,Zaid,Red,5.71,39,39,140,1303,15.76,58,Rainfed,Rice,7.64,Masoor,5.23
Uttarakhand,Kharif,Sandy,6.04,119,79,63,1143,34.63,53,Canal,Gram,3.02,Pea,4.95
Rajasthan,Kharif,Sandy,8.37,50,30,87,1287,35.74,30,Drip,Sugarcane,8.27,Barley,4.38
Haryana,Zaid,Clay,7.41,105,35,44,1438,19.38,74,Drip,Mustard,1.34,Rice,4.92
Jammu and Kashmir,Rabi,Clay,5.61,109,38,105,772,18.48,82,Drip,Wheat,6.47,Masoor,4.14
Punjab,Kharif,Black,5.81,105,56,32,697,27.94,69,Tube Well,Maize,2.17,Rice,3.98
Chhattisgarh,Zaid,Sandy,7.79,33,31,77,950,32.6,32,Tube Well,Masoor,9.58,Sugarcane,4.12
Chhattisgarh,Zaid,Alluvial,6.12,127,46,119,435,16.42,42,Tube Well,Onion,3.73,Groundnut,4.99
Uttar Pradesh,Kharif,Sandy,6.31,69,50,128,784,19.99,44,Sprinkler,Potato,9.59,Jowar,3.73
Rajasthan,Rabi,Red,6.4,133,96,84,1259,14.01,79,Sprinkler,Mustard,1.28,Sugarcane,6.9
Jammu and Kashmir,Kharif,Sandy,6.14,121,12,87,683,15.75,66,Sprinkler,Maize,1.62,Soybean,2.35
Bihar,Zaid,Red,6.17,149,26,116,841,17.57,31,Rainfed,Masoor,7.52,Bajra,5.94
Rajasthan,Rabi,Clay,6.1,84,34,34,1234,29.73,48,Sprinkler,Groundnut,7.44,Maize,5.11
Jammu and Kashmir,Rabi,Loamy,6.71,147,50,86,589,35.81,47,Sprinkler,Wheat,1.25,Gram,4.99
Himachal Pradesh,Rabi,Clay,6.69,65,94,54,1266,39.26,45,Tube Well,Masoor,2.1,Pea,5.84
Himachal Pradesh,Rabi,Black,7.88,94,81,104,412,21.65,41,Rainfed,Soybean,2.99,Onion,3.89
Madhya Pradesh,Kharif,Red,5.76,96,28,93,457,29.87,39,Sprinkler,Pea,7.74,Maize,5.52
Punjab,Rabi,Black,8.14,79,21,88,1219,32.75,66,Drip,Maize,6.72,Groundnut,5.37
Jharkhand,Zaid,Red,7.2,145,34,78,652,16.45,36,Drip,Wheat,6.11,Groundnut,5.24
Madhya Pradesh,Rabi,Sandy,7.99,111,74,20,954,27.6,61,Canal,Soybean,6.29,Rice,6.07
Haryana,Kharif,Black,6.81,114,68,18,807,22.27,52,Rainfed,Mustard,2.3,Bajra,4.44
Uttarakhand,Kharif,Black,6.47,143,56,144,873,30.8,82,Rainfed,Soybean,2.77,Pea,6.95
Jharkhand,Rabi,Black,7.5,23,46,48,1259,14.58,40,Tube Well,Bajra,1.05,Jowar,3.26
Jammu and Kashmir,Zaid,Alluvial,5.83,128,93,23,1202,21.68,89,Drip,Wheat,0.53,Potato,4.79
Rajasthan,Zaid,Black,5.52,126,15,14,393,39.67,43,Drip,Wheat,6.62,Maize,1.55
Jharkhand,Kharif,Clay,7.77,67,17,144,966,31.36,34,Tube Well,Wheat,5.76,Potato,4.85
Madhya Pradesh,Rabi,Loamy,6.88,78,99,126,820,12.7,38,Canal,Mustard,4.62,Pea,6.3
Uttar Pradesh,Rabi,Black,7.38,104,40,115,1071,31.72,78,Canal,Jowar,3.04,Cotton,6.05
Himachal Pradesh,Zaid,Clay,7.09,42,26,117,213,31.65,77,Sprinkler,Potato,1.69,Wheat,3.31
Uttar Pradesh,Rabi,Sandy,8.27,50,67,26,1206,11.81,73,Canal,Maize,1.32,Onion,4.23
Jammu and Kashmir,Kharif,Alluvial,5.51,29,67,49,725,32.84,53,Tube Well,Wheat,5.11,Mustard,1.04
Uttar Pradesh,Rabi,Black,6.84,140,96,60,309,18.67,60,Tube Well,Gram,6.17,Rice,4.57
Haryana,Rabi,Alluvial,6.7,47,25,26,1397,27.86,60,Canal,Moong,7.5,Potato,2.95
Punjab,Zaid,Alluvial,7.48,124,30,45,1385,36.98,86,Tube Well,Groundnut,9.72,Wheat,5.3
Himachal Pradesh,Zaid,Red,6.73,79,97,41,1457,28.63,56,Canal,Groundnut,3.13,Cotton,5.92
Chhattisgarh,Zaid,Clay,8.4,41,23,138,1167,20.3,88,Sprinkler,Wheat,1.85,Wheat,3.32
Uttarakhand,Rabi,Red,7.63,136,15,32,259,14.32,56,Canal,Rice,0.93,Soybean,3.62
Jharkhand,Zaid,Alluvial,6.62,36,31,115,981,11.44,80,Sprinkler,Maize,9.38,Wheat,4.31
Haryana,Kharif,Alluvial,6.51,69,52,132,539,11.6,68,Drip,Masoor,4.57,Sugarcane,3.58
Himachal Pradesh,Kharif,Red,5.72,22,18,118,754,13.27,74,Canal,Sugarcane,5.93,Pea,2.87
